chr,start,end,name,score,strand,gc,gc_bin,chrom,feature_id,feature_bin,feature_type_top,feature_types,gene_name,gene_id,transcript_ids,gene_type_top,transcript_type_top,gene_types,transcript_types,input_sum,clip_sum,enrichment_n,enrichment_l2or_min,enrichment_l2or_mean,enrichment_l2or_max,p_max,p_min,q_max,q_min,symbol,expression,unique_ID,tscript_start,tscript_end,tscript_length
chrX,41232524,41232622,5484189,0,+,0.377551,"(0.354,0.382]",chrX,608680,1,UTR3,UTR3:EXON_MRNA,USP9X,ENSG00000124486.15,ENST00000378308.7:ENST00000703987.1:ENST00000704650.1,protein_coding,protein_coding,protein_coding,protein_coding,1,37,2,4.04425,4.554005,5.06376,0.00140204,5.38132e-05,0.0354794,0.00166086,USP9X,up,USP9X_5484189,41085445,41236579,151134
chr6,47625891,47625989,1975144,0,+,0.244898,"[0,0.29]",chr6,207576,18,UTR3,UTR3:EXON_MRNA,CD2AP,ENSG00000198087.7,ENST00000359314.5,protein_coding,protein_coding,protein_coding,protein_coding,0,27,2,4.2533,4.520855,4.78841,0.0483926,0.000447821,0.124289,0.00683932,CD2AP,up,CD2AP_1975144,47477789,47627263,149474
chr10,87960893,87960960,3121851,0,+,0.373134,"(0.354,0.382]",chr10,315448,1,CDS,CDS:UTR3:EXON_MRNA,PTEN,ENSG00000171862.16,ENST00000688308.1:ENST00000693560.1:ENST00000700022.1:ENST00000686459.1:ENST00000688922.2:ENST00000472832.3:ENST00000688158.2:ENST00000700023.1:ENST00000700024.1:ENST00000700025.1:ENST00000700026.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron:nonsense_mediated_decay,0,21,2,3.97711,4.47362,4.97013,0.0326231,9.45915e-05,0.109278,0.00245135,PTEN,up,PTEN_3121851,87863438,87971930,108492
chr6,145799513,145799612,2213640,0,-,0.242424,"[0,0.29]",chr6,228771,62,UTR3,UTR3:EXON_MRNA,FBXO30,ENSG00000118496.5,ENST00000237281.5,protein_coding,protein_coding,protein_coding,protein_coding,3,67,2,3.13858,4.39193,5.64528,0.00139704,0.000107999,0.0354794,0.00268506,FBXO30,up,FBXO30_2213640,145793502,145814795,21293
chr14,59369348,59369446,4026791,0,+,0.367347,"(0.354,0.382]",chr14,418666,6,UTR3,UTR3:EXON_MRNA,DAAM1,ENSG00000100592.16,ENST00000360909.8:ENST00000553307.5:ENST00000555651.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,0,20,2,4.22479,4.376325,4.52786,0.0182019,0.000839656,0.087052,0.0100479,DAAM1,up,DAAM1_4026791,59188667,59371403,182736
chrX,23987326,23987425,5575002,0,-,0.30303,"(0.29,0.327]",chrX,617166,26,UTR3,UTR3:EXON_MRNA:INTRON,KLHL15,ENSG00000174010.10,ENST00000685367.1:ENST00000692681.1,protein_coding,protein_coding,protein_coding,protein_coding,0,21,2,3.87448,4.306265,4.73805,0.0630349,0.000389063,0.137004,0.00629924,KLHL15,up,KLHL15_5575002,23983716,24025317,41601
chr6,46145409,46145508,1973360,0,+,0.212121,"[0,0.29]",chr6,207414,19,UTR3,UTR3:EXON_MRNA,ENPP4,ENSG00000001561.7,ENST00000321037.5,protein_coding,protein_coding,protein_coding,protein_coding,1,41,2,3.6007,4.29987,4.99904,0.00923679,0.00048972,0.0698257,0.00716161,ENPP4,up,ENPP4_1973360,46129989,46146688,16699
chr1,235168237,235168333,495207,0,-,0.46875,"(0.442,0.48]",chr1,61338,15,UTR3,UTR3:EXON_MRNA,ARID4B,ENSG00000054267.22,ENST00000264183.9,protein_coding,protein_coding,protein_coding,protein_coding,0,15,2,3.76984,4.197415,4.62499,0.0369671,0.000564854,0.11429,0.00793438,ARID4B,up,ARID4B_495207,235166902,235328179,161277
chr12,22690172,22690271,3574021,0,+,0.333333,"(0.327,0.354]",chr12,368373,54,UTR3,UTR3:EXON_MRNA,ETNK1,ENSG00000139163.16,ENST00000266517.9,protein_coding,protein_coding,protein_coding,protein_coding,1,28,2,3.76457,4.13701,4.50945,0.00963263,0.00025436,0.0706334,0.004721,ETNK1,up,ETNK1_3574021,22625171,22690665,65494
chr6,46144229,46144328,1973348,0,+,0.282828,"[0,0.29]",chr6,207414,7,UTR3,UTR3:EXON_MRNA,ENPP4,ENSG00000001561.7,ENST00000321037.5,protein_coding,protein_coding,protein_coding,protein_coding,1,35,2,3.6007,4.09983,4.59896,0.0240096,0.00048972,0.0973574,0.00716161,ENPP4,up,ENPP4_1973348,46129989,46146688,16699
chr22,40328327,40328427,5378124,0,+,0.36,"(0.354,0.382]",chr22,596567,52,UTR3,UTR3:EXON_MRNA,TNRC6B,ENSG00000100354.22,ENST00000301923.13:ENST00000335727.13,protein_coding,protein_coding,protein_coding,protein_coding,2,33,2,3.44756,4.07599,4.70442,0.00472691,0.000134496,0.0545893,0.00302563,TNRC6B,up,TNRC6B_5378124,40177925,40335808,157883
chr12,22685741,22685840,3573976,0,+,0.222222,"[0,0.29]",chr12,368373,9,UTR3,UTR3:EXON_MRNA,ETNK1,ENSG00000139163.16,ENST00000266517.9,protein_coding,protein_coding,protein_coding,protein_coding,2,43,2,3.0967,4.018145,4.93959,0.0107539,0.000621465,0.0727614,0.0083626,ETNK1,up,ETNK1_3573976,22625171,22690665,65494
chr2,200979082,200979182,928196,0,-,0.32,"(0.29,0.327]",chr2,105668,55,UTR3,UTR3:EXON_MRNA,HYCC2,ENSG00000155744.10,ENST00000681958.1:ENST00000418596.7,protein_coding,protein_coding,protein_coding,protein_coding,0,17,2,3.73336,4.016055,4.29875,0.080556,0.00252243,0.151315,0.0209628,HYCC2,up,HYCC2_928196,200973718,201071671,97953
chr18,20967845,20967940,4946989,0,-,0.273684,"[0,0.29]",chr18,531468,2,CDS,CDS:EXON_MRNA,ROCK1,ENSG00000067900.9,ENST00000635540.2:ENST00000399799.3,protein_coding,protein_coding,protein_coding,protein_coding:nonsense_mediated_decay,1,44,2,2.49623,3.978245,5.46026,0.0456473,1.27247e-05,0.123769,0.000619528,ROCK1,up,ROCK1_4946989,20946906,21111813,164907
chr1,235167760,235167855,495202,0,-,0.189474,"[0,0.29]",chr1,61338,10,UTR3,UTR3:EXON_MRNA,ARID4B,ENSG00000054267.22,ENST00000264183.9,protein_coding,protein_coding,protein_coding,protein_coding,0,18,2,3.65729,3.969105,4.28092,0.126935,0.00351556,0.194221,0.0258079,ARID4B,up,ARID4B_495202,235166902,235328179,161277
chr17,61995222,61995293,4842276,0,-,0.380282,"(0.354,0.382]",chr17,520691,2,CDS,CDS:EXON_MRNA,MED13,ENSG00000108510.10,ENST00000397786.7,protein_coding,protein_coding,protein_coding,protein_coding,1,24,2,3.47621,3.956165,4.43612,0.0104272,0.00116102,0.0726393,0.0126907,MED13,up,MED13_4842276,61942605,62065278,122673
chr12,71786567,71786667,3633378,0,+,0.33,"(0.327,0.354]",chr12,375079,10,UTR3,UTR3:EXON_MRNA,RAB21,ENSG00000080371.6,ENST00000261263.5,protein_coding,protein_coding,protein_coding,protein_coding,2,31,2,2.83819,3.873375,4.90856,0.00294551,0.0028517,0.0455776,0.0230141,RAB21,up,RAB21_3633378,71754863,71800286,45423
chr1,243124908,243125004,499566,0,-,0.25,"[0,0.29]",chr1,62031,6,UTR3,UTR3:EXON_MRNA,CEP170,ENSG00000143702.17,ENST00000366543.5:ENST00000366542.6,protein_coding,protein_coding,protein_coding,protein_coding,1,30,2,3.22601,3.873,4.51999,0.0284581,0.00267629,0.103609,0.0214543,CEP170,up,CEP170_499566,243124428,243255281,130853
chr11,108367404,108367504,3396850,0,+,0.39,"(0.382,0.41]",chr11,346446,20,UTR3,UTR3:EXON_MRNA,ATM,ENSG00000149311.22,ENST00000601453.3:ENST00000452508.7:ENST00000675843.1:ENST00000713593.1:ENST00000683174.2:ENST00000684152.1:ENST00000684447.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron:nonsense_mediated_decay,1,27,2,2.44207,3.859125,5.27618,0.0399061,1.51383e-05,0.114819,0.000701299,ATM,up,ATM_3396850,108223116,108369102,145986
chr21,14371498,14371595,5316906,0,-,0.298969,"(0.29,0.327]",chr21,588344,5,UTR3,UTR3:EXON_MRNA,HSPA13,ENSG00000155304.6,ENST00000285667.4,protein_coding,protein_coding,protein_coding,protein_coding,0,15,2,3.664,3.76924,3.87448,0.0630349,0.019584,0.137004,0.0733734,HSPA13,up,HSPA13_5316906,14371115,14383146,12031
chr4,185458221,185458317,1596906,0,-,0.333333,"(0.327,0.354]",chr4,170493,2,CDS,CDS:EXON_MRNA,CCDC110,ENSG00000168491.10,ENST00000307588.8:ENST00000510617.5,protein_coding,protein_coding,protein_coding,protein_coding,1,21,2,3.39822,3.74153,4.08484,0.0281384,0.00156376,0.103609,0.0152713,CCDC110,up,CCDC110_1596906,185445182,185471733,26551
chr6,47626773,47626871,1975153,0,+,0.326531,"(0.29,0.327]",chr6,207576,27,UTR3,UTR3:EXON_MRNA,CD2AP,ENSG00000198087.7,ENST00000359314.5,protein_coding,protein_coding,protein_coding,protein_coding,2,30,2,3.00175,3.71401,4.42627,0.0200466,0.00113512,0.0919966,0.0125189,CD2AP,up,CD2AP_1975153,47477789,47627263,149474
chr4,77166810,77166908,1401159,0,+,0.367347,"(0.354,0.382]",chr4,152573,10,UTR3,UTR3:EXON_MRNA,CCNG2,ENSG00000138764.15,ENST00000316355.10,protein_coding,protein_coding,protein_coding,protein_coding,0,13,2,3.58908,3.712165,3.83525,0.0441447,0.0220916,0.120382,0.0788328,CCNG2,up,CCNG2_1401159,77157207,77170060,12853
chr4,39076004,39076104,1377660,0,+,0.35,"(0.327,0.354]",chr4,149925,1,CDS_START,CDS_START:CDS:EXON_MRNA,KLHL5,ENSG00000109790.18,ENST00000508137.6:ENST00000504108.7:ENST00000381930.8,protein_coding,protein_coding,protein_coding,protein_coding,3,30,2,2.60575,3.64415,4.68255,0.00583144,0.00274453,0.0586669,0.0219099,KLHL5,up,KLHL5_1377660,39062232,39126233,64001
chr12,22685938,22686037,3573978,0,+,0.292929,"(0.29,0.327]",chr12,368373,11,UTR3,UTR3:EXON_MRNA,ETNK1,ENSG00000139163.16,ENST00000266517.9,protein_coding,protein_coding,protein_coding,protein_coding,2,44,2,2.89516,3.46993,4.0447,0.0141987,4.32668e-05,0.0811709,0.0014515,ETNK1,up,ETNK1_3573978,22625171,22690665,65494
chr3,179198825,179198925,1113606,0,+,0.46,"(0.442,0.48]",chr3,124929,1,CDS_START,CDS_START:CDS:EXON_MRNA,PIK3CA,ENSG00000121879.6,ENST00000263967.4:ENST00000643187.1:ENST00000675467.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,2,29,2,3.05839,3.45271,3.84703,0.00602935,0.000268923,0.0590321,0.00485257,PIK3CA,up,PIK3CA_1113606,179148357,179240093,91736
chr10,110887738,110887812,3150690,0,+,0.459459,"(0.442,0.48]",chr10,319202,2,CDS,CDS:EXON_MRNA,PDCD4,ENSG00000150593.18,ENST00000393104.6:ENST00000467574.5:ENST00000280154.12:ENST00000444997.1:ENST00000492932.5:ENST00000481353.5:ENST00000489049.5,protein_coding,protein_coding,protein_coding,protein_coding:protein_coding_CDS_not_defined,3,35,2,3.05839,3.450905,3.84342,0.00602935,1.83622e-05,0.0590321,0.00079362,PDCD4,up,PDCD4_3150690,110871795,110900005,28210
chr6,118907401,118907457,2021944,0,+,0.375,"(0.354,0.382]",chr6,211133,1,CDS,CDS:EXON_MRNA,ASF1A,ENSG00000111875.8,ENST00000229595.6,protein_coding,protein_coding,protein_coding,protein_coding,3,23,2,2.45767,3.3412299999999995,4.22479,0.0182019,0.00567594,0.087052,0.0350969,ASF1A,up,ASF1A_2021944,118894152,118909171,15019
chr20,47654306,47654405,5213484,0,+,0.343434,"(0.327,0.354]",chr20,574902,10,UTR3,UTR3:EXON_MRNA,NCOA3,ENSG00000124151.19,ENST00000371998.8:ENST00000372004.7:ENST00000371997.3,protein_coding,protein_coding,protein_coding,protein_coding,3,45,2,2.43616,3.32943,4.2227,0.0121369,1.59034e-05,0.0780138,0.000727692,NCOA3,up,NCOA3_5213484,47501887,47656872,154985
chr4,77718544,77718644,1523904,0,-,0.38,"(0.354,0.382]",chr4,164372,53,UTR3,UTR3:EXON_MRNA,CNOT6L,ENSG00000138767.14,ENST00000504123.7:ENST00000515506.6,protein_coding,protein_coding,protein_coding,protein_coding,2,28,2,2.14826,3.2461900000000004,4.34412,0.0284039,0.00182335,0.103609,0.0168534,CNOT6L,up,CNOT6L_1523904,77713387,77819368,105981
chr8,132012268,132012366,2668881,0,+,0.316327,"(0.29,0.327]",chr8,270704,15,UTR3,UTR3:EXON_MRNA,EFR3A,ENSG00000132294.15,ENST00000254624.10,protein_coding,protein_coding,protein_coding,protein_coding,1,22,2,1.98912,3.22481,4.4605,0.112652,0.00132813,0.179831,0.0136022,EFR3A,up,EFR3A_2668881,131904093,132013642,109549
chr3,170384609,170384687,1108570,0,+,0.410256,"(0.41,0.442]",chr3,124581,2,CDS,CDS:EXON_MRNA:SS5_ADJ:SS5_PROX:INTRON,SKIL,ENSG00000136603.15,ENST00000465590.2:ENST00000259119.9:ENST00000413427.6:ENST00000490894.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,2,16,2,2.65517,3.18763,3.72009,0.04809,0.0078291,0.124289,0.0427227,SKIL,up,SKIL_1108570,170357342,170396835,39493
chr1,113977604,113977704,129715,0,+,0.25,"[0,0.29]",chr1,15669,42,UTR3,UTR3:EXON_MRNA,HIPK1,ENSG00000163349.22,ENST00000369558.5,protein_coding,protein_coding,protein_coding,protein_coding,1,26,2,2.1556,3.1379200000000003,4.12024,0.0903702,0.0061025,0.157616,0.0366982,HIPK1,up,HIPK1_129715,113929324,113977869,48545
chr3,179022817,179022917,1317508,0,-,0.31,"(0.29,0.327]",chr3,143670,57,UTR3,UTR3:EXON_MRNA,ZMAT3,ENSG00000172667.11,ENST00000311417.7,protein_coding,protein_coding,protein_coding,protein_coding,2,20,2,1.94727,3.08869,4.23011,0.0542138,0.0312223,0.137351,0.107317,ZMAT3,up,ZMAT3_1317508,179017223,179071809,54586
chr3,88139094,88139192,1035811,0,+,0.438776,"(0.41,0.442]",chr3,118114,5,CDS,CDS:EXON_MRNA,ZNF654,ENSG00000175105.8,ENST00000636215.2,protein_coding,protein_coding,protein_coding,protein_coding,1,11,2,2.38888,2.96594,3.543,0.067766,0.0546533,0.139386,0.137351,ZNF654,up,ZNF654_1035811,88059255,88144660,85405
chr17,39759909,39760009,4804784,0,-,0.46,"(0.442,0.48]",chr17,515029,23,UTR3,UTR3:EXON_MRNA,IKZF3,ENSG00000161405.18,ENST00000346872.8,protein_coding,protein_coding,protein_coding,protein_coding,4,33,2,2.33807,2.94398,3.54989,0.0150284,0.000126132,0.0835238,0.00295882,IKZF3,up,IKZF3_4804784,39757718,39864312,106594
chr9,104140175,104140271,2886833,0,+,0.260417,"[0,0.29]",chr9,290002,10,UTR3,UTR3:EXON_MRNA,SMC2,ENSG00000136824.19,ENST00000286398.11:ENST00000374793.8,protein_coding,protein_coding,protein_coding,protein_coding,1,15,2,2.17019,2.91374,3.65729,0.126935,0.0706989,0.194221,0.159469,SMC2,up,SMC2_2886833,104094260,104141409,47149
chr5,119393381,119393479,1695675,0,+,0.316327,"(0.29,0.327]",chr5,179611,1,UTR3,UTR3:EXON_MRNA,TNFAIP8,ENSG00000145779.8,ENST00000274456.6:ENST00000513374.1:ENST00000503646.1:ENST00000504771.3:ENST00000415806.2,protein_coding,protein_coding,protein_coding,protein_coding,1,19,2,2.09053,2.8772650000000004,3.664,0.0937248,0.019584,0.160384,0.0733734,TNFAIP8,up,TNFAIP8_1695675,119356019,119399688,43669
chr13,42302297,42302395,3868539,0,+,0.479592,"(0.442,0.48]",chr13,404249,31,CDS,CDS:EXON_MRNA,AKAP11,ENSG00000023516.9,ENST00000025301.4,protein_coding,protein_coding,protein_coding,protein_coding,2,12,2,1.91988,2.84486,3.76984,0.0814769,0.0369671,0.178976,0.11429,AKAP11,up,AKAP11_3868539,42272152,42323261,51109
chr12,22687514,22687612,3573994,0,+,0.387755,"(0.382,0.41]",chr12,368373,27,UTR3,UTR3:EXON_MRNA,ETNK1,ENSG00000139163.16,ENST00000266517.9,protein_coding,protein_coding,protein_coding,protein_coding,2,21,2,1.98276,2.844135,3.70551,0.106485,0.000408474,0.170868,0.0064217,ETNK1,up,ETNK1_3573994,22625171,22690665,65494
chr12,22688597,22688695,3574005,0,+,0.357143,"(0.354,0.382]",chr12,368373,38,UTR3,UTR3:EXON_MRNA,ETNK1,ENSG00000139163.16,ENST00000266517.9,protein_coding,protein_coding,protein_coding,protein_coding,1,15,2,2.0685,2.82879,3.58908,0.0911876,0.0220916,0.157616,0.0788328,ETNK1,up,ETNK1_3574005,22625171,22690665,65494
chr4,145557934,145558029,1452992,0,+,0.494737,"(0.48,0.52]",chr4,156981,1,UTR3,UTR3:EXON_MRNA,SMAD1,ENSG00000170365.10,ENST00000302085.9:ENST00000511125.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,6,29,2,2.52983,2.771865,3.0139,0.00669156,0.00197116,0.0620201,0.0181248,SMAD1,up,SMAD1_1452992,145481853,145559176,77323
chr14,77338795,77338894,4146656,0,-,0.343434,"(0.327,0.354]",chr14,432414,39,UTR3,UTR3:EXON_MRNA,TMED8,ENSG00000100580.8,ENST00000216468.8,protein_coding,protein_coding,protein_coding,protein_coding,3,29,2,1.7897,2.72109,3.65248,0.0715046,0.000459763,0.143134,0.00692681,TMED8,up,TMED8_4146656,77335029,77377094,42065
chrX,124102067,124102165,5534806,0,+,0.316327,"(0.29,0.327]",chrX,613772,16,UTR3,UTR3:EXON_MRNA,STAG2,ENSG00000101972.20,ENST00000371145.8:ENST00000371157.7:ENST00000693144.1:ENST00000688971.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,2,14,2,1.94727,2.674365,3.40146,0.133988,0.0542138,0.197358,0.137351,STAG2,up,STAG2_5534806,123961706,124102656,140950
chr10,120862734,120862827,3168838,0,+,0.505376,"(0.48,0.52]",chr10,320208,1,CDS,CDS:UTR5:EXON_MRNA,WDR11,ENSG00000120008.16,ENST00000263461.11:ENST00000497136.6,protein_coding,protein_coding,protein_coding,protein_coding:nonsense_mediated_decay,2,14,2,2.14017,2.589445,3.03872,0.0749523,0.0111054,0.148917,0.0513901,WDR11,up,WDR11_3168838,120851362,120909524,58162
chr3,179400324,179400423,1318055,0,-,0.353535,"(0.327,0.354]",chr3,143707,44,UTR3,UTR3:EXON_MRNA,GNB4,ENSG00000114450.11,ENST00000232564.8:ENST00000676128.1,protein_coding,protein_coding,protein_coding,protein_coding,8,41,2,1.53245,2.418785,3.30512,0.0344221,0.00308337,0.107787,0.0473309,GNB4,up,GNB4_1318055,179396114,179451198,55084
chr3,143016841,143016908,1082459,0,+,0.298507,"(0.29,0.327]",chr3,122494,1,CDS,CDS:EXON_MRNA,U2SURP,ENSG00000163714.18,ENST00000493782.5:ENST00000473835.7:ENST00000461591.5:ENST00000493598.6:ENST00000463563.6:ENST00000485374.5:ENST00000491827.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron:protein_coding_CDS_not_defined:nonsense_mediated_decay,4,31,2,2.32757,2.38233,2.43709,0.0457855,0.00754167,0.123769,0.0418056,U2SURP,up,U2SURP_1082459,143001570,143060725,59155
chr5,132695851,132695949,1849693,0,-,0.326531,"(0.29,0.327]",chr5,194181,34,UTR3,UTR3:EXON_MRNA,KIF3A,ENSG00000131437.16,ENST00000378746.8:ENST00000378735.5,protein_coding,protein_coding,protein_coding,protein_coding,2,20,2,1.98912,2.32338,2.65764,0.112652,0.0214406,0.179831,0.078542,KIF3A,up,KIF3A_1849693,132692628,132737638,45010
chr11,102397013,102397111,3515648,0,-,0.418367,"(0.41,0.442]",chr11,362519,8,UTR3,UTR3:EXON_MRNA,TMEM123,ENSG00000152558.15,ENST00000361236.7:ENST00000398136.7,protein_coding,protein_coding,protein_coding,protein_coding,9,45,2,2.11129,2.2914250000000003,2.47156,0.0149312,0.000905904,0.0830374,0.0107858,TMEM123,up,TMEM123_3515648,102396332,102452839,56507
chr11,128458963,128459063,3539720,0,-,0.25,"[0,0.29]",chr11,364792,3,UTR3,UTR3:EXON_MRNA,ETS1,ENSG00000134954.14,ENST00000319397.7,protein_coding,protein_coding,protein_coding,protein_coding,9,77,2,1.84234,2.23719,2.63204,0.0444531,0.000175793,0.121149,0.00372879,ETS1,up,ETS1_3539720,128458765,128522310,63545
chr4,77718048,77718148,1523899,0,-,0.25,"[0,0.29]",chr4,164372,48,UTR3,UTR3:EXON_MRNA,CNOT6L,ENSG00000138767.14,ENST00000504123.7:ENST00000515506.6,protein_coding,protein_coding,protein_coding,protein_coding,2,24,2,2.07663,2.226815,2.377,0.104082,0.0434188,0.167708,0.119218,CNOT6L,up,CNOT6L_1523899,77713387,77819368,105981
chr11,102397891,102397988,3515657,0,-,0.28866,"[0,0.29]",chr11,362519,17,UTR3,UTR3:EXON_MRNA,TMEM123,ENSG00000152558.15,ENST00000361236.7:ENST00000398136.7,protein_coding,protein_coding,protein_coding,protein_coding,11,72,2,1.90947,1.928355,1.94724,0.0340085,0.00435839,0.11065,0.0299515,TMEM123,up,TMEM123_3515657,102396332,102452839,56507
chr9,129908944,129908999,3026581,0,-,0.509091,"(0.48,0.52]",chr9,306194,2,CDS,CDS:EXON_MRNA,FNBP1,ENSG00000187239.19,ENST00000446176.7:ENST00000699492.1:ENST00000703558.1:ENST00000449089.7:ENST00000703532.1:ENST00000703533.1:ENST00000478129.5,protein_coding,protein_coding,protein_coding,protein_coding:protein_coding_CDS_not_defined,5,17,2,1.63063,1.905675,2.18072,0.0983903,0.0259453,0.1674,0.0874606,FNBP1,up,FNBP1_3026581,129887187,130043189,156002
chr17,39765091,39765191,4804836,0,-,0.45,"(0.442,0.48]",chr17,515029,75,UTR3,UTR3:EXON_MRNA,IKZF3,ENSG00000161405.18,ENST00000346872.8,protein_coding,protein_coding,protein_coding,protein_coding,8,28,2,1.30743,1.84484,2.38225,0.0975672,0.00575144,0.166454,0.0355279,IKZF3,up,IKZF3_4804836,39757718,39864312,106594
chr18,20950187,20950287,4946799,0,-,0.31,"(0.29,0.327]",chr18,531423,57,UTR3,UTR3:EXON_MRNA,ROCK1,ENSG00000067900.9,ENST00000635540.2:ENST00000399799.3,protein_coding,protein_coding,protein_coding,protein_coding:nonsense_mediated_decay,0,67,2,5.68838,5.919615,6.15085,0.000397503,4.31177e-08,0.0225133,1.43266e-05,ROCK1,up,ROCK1_4946799,20946906,21111813,164907
chr7,121350460,121350550,2523248,0,-,0.388889,"(0.382,0.41]",chr7,257110,1,CDS_STOP,CDS_STOP:CDS:EXON_MRNA,FAM3C,ENSG00000196937.11,ENST00000359943.8:ENST00000474082.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,0,48,2,5.14291,5.67226,6.20161,0.000911322,1.28518e-08,0.0302816,6.84853e-06,FAM3C,up,FAM3C_2523248,121348878,121396308,47430
chr14,59369739,59369837,4026795,0,+,0.244898,"[0,0.29]",chr14,418666,10,UTR3,UTR3:EXON_MRNA,DAAM1,ENSG00000100592.16,ENST00000360909.8:ENST00000555651.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,0,43,2,4.93959,5.16555,5.39151,0.0107539,1.9193e-05,0.0727614,0.000807865,DAAM1,up,DAAM1_4026795,59188667,59371403,182736
